chat_id,source,sender,receiver,timestamp,message,direction,comm_type
WA_Jad_012330,WhatsApp,jad,jad,2025-11-14 01:14:00+00:00,BroMovie night this weekend?,inbound,whatsapp
WA_Jad_012330,WhatsApp,USER_SELF,jad,2025-11-14 01:14:00+00:00,Yes!Finally some free time,outbound,whatsapp
WA_Layla_012412,WhatsApp,layla,layla,2025-11-14 00:38:00+00:00,Are you coming for lunch tomorrow?Your sister will be there,inbound,whatsapp
WA_Layla_012412,WhatsApp,USER_SELF,layla,2025-11-14 00:38:00+00:00,I'll try mamaDepends on meetings,outbound,whatsapp
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-11 21:36:00+00:00,.,outbound,whatsapp
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-11 21:36:00+00:00,.,outbound,whatsapp
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-14 01:15:00+00:00,.,outbound,whatsapp
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-14 01:16:00+00:00,.,outbound,whatsapp
WA_Michel_012314,WhatsApp,michel,michel,2025-11-14 01:16:00+00:00,Don't forget the USB from your drawer tomorrow,inbound,whatsapp
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-14 01:16:00+00:00,Sure dad,outbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 22:40:00+00:00,Morning Alex,inbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 22:41:00+00:00,Did you finalize the updates for project Alpha?,inbound,whatsapp
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-13 22:42:00+00:00,Morning!,outbound,whatsapp
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-13 22:42:00+00:00,"Yes, almost done",outbound,whatsapp
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-13 22:43:00+00:00,Sending the updated specs after my meeting,outbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 22:43:00+00:00,Perfect,inbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 23:55:00+00:00,Share the pdf when ready,inbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 23:55:00+00:00,"Just saw the pdf, thanks",inbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 23:56:00+00:00,Can you send the raw numbers too?,inbound,whatsapp
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-14 01:01:00+00:00,I'll wrap them into one excel and share shortly,outbound,whatsapp
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-14 01:01:00+00:00,Morning!Are the results ready?,inbound,whatsapp
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-14 01:01:00+00:00,Working on last adjustments,outbound,whatsapp
