chat_id,source,sender,receiver,timestamp,message,direction,comm_type,sender_resolved,receiver_resolved
WA_Jad_012330,WhatsApp,jad,jad,2025-11-14 01:14:00+00:00,BroMovie night this weekend?,inbound,whatsapp,jad,jad
WA_Jad_012330,WhatsApp,USER_SELF,jad,2025-11-14 01:14:00+00:00,Yes!Finally some free time,outbound,whatsapp,user_self,jad
WA_Layla_012412,WhatsApp,layla,layla,2025-11-14 00:38:00+00:00,Are you coming for lunch tomorrow?Your sister will be there,inbound,whatsapp,layla,layla
WA_Layla_012412,WhatsApp,USER_SELF,layla,2025-11-14 00:38:00+00:00,I'll try mamaDepends on meetings,outbound,whatsapp,user_self,layla
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-11 21:36:00+00:00,.,outbound,whatsapp,user_self,michel
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-11 21:36:00+00:00,.,outbound,whatsapp,user_self,michel
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-14 01:15:00+00:00,.,outbound,whatsapp,user_self,michel
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-14 01:16:00+00:00,.,outbound,whatsapp,user_self,michel
WA_Michel_012314,WhatsApp,michel,michel,2025-11-14 01:16:00+00:00,Don't forget the USB from your drawer tomorrow,inbound,whatsapp,michel,michel
WA_Michel_012314,WhatsApp,USER_SELF,michel,2025-11-14 01:16:00+00:00,Sure dad,outbound,whatsapp,user_self,michel
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 22:40:00+00:00,Morning Alex,inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 22:41:00+00:00,Did you finalize the updates for project Alpha?,inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-13 22:42:00+00:00,Morning!,outbound,whatsapp,user_self,nadia
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-13 22:42:00+00:00,"Yes, almost done",outbound,whatsapp,user_self,nadia
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-13 22:43:00+00:00,Sending the updated specs after my meeting,outbound,whatsapp,user_self,nadia
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 22:43:00+00:00,Perfect,inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 23:55:00+00:00,Share the pdf when ready,inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 23:55:00+00:00,"Just saw the pdf, thanks",inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-13 23:56:00+00:00,Can you send the raw numbers too?,inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-14 01:01:00+00:00,I'll wrap them into one excel and share shortly,outbound,whatsapp,user_self,nadia
WA_Nadia_012359,WhatsApp,nadia,nadia,2025-11-14 01:01:00+00:00,Morning!Are the results ready?,inbound,whatsapp,nadia,nadia
WA_Nadia_012359,WhatsApp,USER_SELF,nadia,2025-11-14 01:01:00+00:00,Working on last adjustments,outbound,whatsapp,user_self,nadia
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-13 22:44:00+00:00,Hi Samir,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-13 22:45:00+00:00,I uploaded alpha_specs_v2.pdf on the shared drive,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-13 22:45:00+00:00,got it,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-13 22:46:00+00:00,I will check compatibilty issues today,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-13 22:46:00+00:00,Check section 4.2,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-13 22:51:00+00:00,Found some inconsistencies,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-13 22:53:00+00:00,Can you send it via telegram?,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-13 23:21:00+00:00,Yes sure just a sec,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-14 00:31:00+00:00,Great! Call you later,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-14 00:31:00+00:00,"By the way, the file you sent earlier shows v2.1 in the headerMine says v2. Did you rename it?",inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-14 00:32:00+00:00,NoI sent exactly what I exportedMaybe the telegram compression changed something?,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-14 00:41:00+00:00,PossiblyLet's re-align tomorrow Too many versions floating around,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-14 00:43:00+00:00,Did you put the corrected table in the shared drive? I can't see it,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-14 00:43:00+00:00,No network is slowI'll send it directly via telegram,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-14 01:01:00+00:00,AlrightSame folder as yesterday,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-14 01:02:00+00:00,I've uploaded stability_report.pdf now,outbound,whatsapp,user_self,samir
WA_Samir_012344,WhatsApp,samir,samir,2025-11-14 01:02:00+00:00,This is v4? I had only seen up to v3,inbound,whatsapp,samir,samir
WA_Samir_012344,WhatsApp,USER_SELF,samir,2025-11-14 01:02:00+00:00,"V4 has minor formatting fixes, nothing bug",outbound,whatsapp,user_self,samir
WA_زوجتي_حياتي_012252,WhatsApp,,,2025-11-14 01:09:00+00:00,IMG-20251113-WA0000.jpg (file attached),inbound,whatsapp,,
WA_زوجتي_حياتي_012252,WhatsApp,,,2025-11-14 01:22:00+00:00,IMG-20251114-WA0000.jpg (file attached),inbound,whatsapp,,
WA_زوجتي_حياتي_012252,WhatsApp,,,2025-11-14 04:27:00+00:00,IMG-20251114-WA0001.jpg (file attached),inbound,whatsapp,,
WA_زوجتي_حياتي_012252,WhatsApp,,,2025-11-14 04:27:00+00:00,IMG-20251114-WA0000.jpg (file attached),inbound,whatsapp,,
WA_محمود_رمضان_Ramadane_012453,WhatsApp,ramadane,ramadane,2025-11-13 14:09:00+00:00,PTT-20251112-WA0000.opus (file attached),inbound,whatsapp,ramadane,ramadane
WA_محمود_رمضان_Ramadane_012453,WhatsApp,USER_SELF,,2025-11-17 13:24:00+00:00,IMG-20251117-WA0001.jpg (file attached),outbound,whatsapp,user_self,
TG_Alpha_Updates,Telegram,USER_SELF,alpha_updates,2025-11-13 21:21:02+00:00,Prototype A is stable,outbound,telegram,user_self,alpha_updates
TG_Alpha_Updates,Telegram,samir,USER_SELF,2025-11-13 21:21:34+00:00,Running diagnostics now,inbound,telegram,samir,user_self
TG_Alpha_Updates,Telegram,rania,USER_SELF,2025-11-13 21:26:40+00:00,Great,inbound,telegram,rania,user_self
TG_Alpha_Updates,Telegram,rania,USER_SELF,2025-11-13 22:49:29+00:00,Let's finalize module C notes by tonight,inbound,telegram,rania,user_self
TG_Alpha_Updates,Telegram,samir,USER_SELF,2025-11-13 22:50:09+00:00,I'll upload the sanitized version around 8 pm,inbound,telegram,samir,user_self
