chat_id,source,sender,receiver,timestamp,message,direction
TG_Alpha_Updates,Telegram,Forensics11,Alpha_Updates,2025-11-13T21:21:02+00:00,Prototype A is stable,outbound
TG_Alpha_Updates,Telegram,Samir,Forensics11,2025-11-13T21:21:34+00:00,Running diagnostics now,inbound
TG_Alpha_Updates,Telegram,Rania,Forensics11,2025-11-13T21:26:40+00:00,Great,inbound
TG_Alpha_Updates,Telegram,Rania,Forensics11,2025-11-13T22:49:29+00:00,Let's finalize module C notes by tonight,inbound
TG_Alpha_Updates,Telegram,Samir,Forensics11,2025-11-13T22:50:09+00:00,I'll upload the sanitized version around 8 pm,inbound
TG_Alpha_Updates,Telegram,Forensics11,Alpha_Updates,2025-11-13T22:51:33+00:00,Copy,outbound
TG_Rania,Telegram,Rania,Forensics11,2025-11-13T21:30:26+00:00,Did you see the notes I added to today's summary?,inbound
TG_Rania,Telegram,Forensics11,Rania,2025-11-13T21:31:38+00:00,Yes,outbound
TG_Rania,Telegram,Rania,Forensics11,2025-11-13T21:32:06+00:00,Let's finalize by Thursday,inbound
TG_Rania,Telegram,Rania,Forensics11,2025-11-13T22:26:36+00:00,"Also, for the documents we discussed, try not to send it over the company channel",inbound
TG_Rania,Telegram,Forensics11,Rania,2025-11-13T22:27:29+00:00,Alright,outbound
TG_Rania,Telegram,Rania,Forensics11,2025-11-13T22:40:18+00:00,"Before we share the weekly update, let's keep the preliminary results internal",inbound
TG_Rania,Telegram,Forensics11,Rania,2025-11-13T22:40:38+00:00,Agreed,outbound
TG_Rania,Telegram,Rania,Forensics11,2025-11-13T23:04:21+00:00,Let's only use the version from last night for the early briefing,inbound
TG_Rania,Telegram,Forensics11,Rania,2025-11-13T23:04:37+00:00,Got it,outbound
TG_Rania,Telegram,Rania,Forensics11,2025-11-13T23:05:03+00:00,No,inbound
TG_Samir,Telegram,Forensics11,Samir,2025-11-13T21:07:36+00:00,Here you go,outbound
TG_Samir,Telegram,Samir,Forensics11,2025-11-13T21:20:37+00:00,Thank you,inbound
TG_Samir,Telegram,Samir,Forensics11,2025-11-13T22:24:48+00:00,Don't upload the older diagrams to the shared drive yet,inbound
TG_Samir,Telegram,Forensics11,Samir,2025-11-13T22:25:26+00:00,Okay...,outbound
TG_Samir,Telegram,Samir,Forensics11,2025-11-13T22:48:20+00:00,Got it,inbound
TG_Samir,Telegram,Forensics11,Samir,2025-11-13T22:48:40+00:00,No idea why it shows that,outbound
TG_Samir,Telegram,Samir,Forensics11,2025-11-13T22:59:42+00:00,Can you double check your spreadsheet? It shows entries duplicated,inbound
TG_Samir,Telegram,Forensics11,Samir,2025-11-13T23:00:05+00:00,That's weird,outbound
TG_Samir,Telegram,Samir,Forensics11,2025-11-13T23:00:18+00:00,I'll send a screenshot tomorrow,inbound
TG_Samir,Telegram,Samir,Forensics11,2025-11-13T23:11:51+00:00,Final question: which file should we publish internally?,inbound
TG_Samir,Telegram,Forensics11,Samir,2025-11-13T23:12:23+00:00,Use v2_approved,outbound
